, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALL RIVER - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2019-11-15,3759.0,4539.0,756.0,703.0,896.0,3675.0,351.0,729.0,267.0,525.0,1570.0,979.0,2587.0,112.0,3251.0,4120.0,10000.0,10997.0,1111.0,10722.0,1211.0,608.0,1339.0,95.0,61505.0,820.0,63924.0,89999.0,1396.0,660.0,92071.0,1260.0,94929.0,95.0,1222.0,96196.0,96211.0,295.0,245.0,206.0,929.0,122.0,953.0,138.0,318.0,235.0,454.0,1577.0,1493.0,445.0,464.0,1475.0,433.0,1883.0,421.0,1332.0,1688.0,2740.0,1401.0,42.0,3391.0,3267.0,2987.0,2645.0,256.0,4759.0,150.0,127.0,7364.0,108.0,193.0,203.0,138.0,63.0,249.0,284.0,85.0,253.0,882.0,77.0,53.0,58.0,279.0,58.0,1011.0,134.0,10684.0,11383.0,4610.0,737.0,14419.0,2179.0,1212.0,4031.0,18136.0,18136.0,18272.0,18272.0,136.0,116320.0,51.0,86.0,12.0,268.0,154.0,430.0,119842.0,5101.0,123020.0,652.0,260.0,499.0,124433.0
2019-11-16,3737.0,4534.0,755.0,685.0,887.0,3655.0,350.0,727.0,268.0,521.0,1605.0,982.0,2595.0,110.0,3230.0,4092.0,9952.0,10946.0,1107.0,11054.0,1186.0,594.0,1326.0,83.0,60516.0,797.0,63078.0,89999.0,1407.0,625.0,92028.0,1266.0,94852.0,152.0,1227.0,96078.0,96079.0,333.0,263.0,214.0,858.0,106.0,906.0,166.0,323.0,247.0,445.0,1579.0,1561.0,445.0,463.0,1458.0,431.0,1835.0,420.0,1328.0,1679.0,2733.0,1399.0,41.0,3485.0,3420.0,3168.0,2626.0,261.0,4744.0,149.0,133.0,7378.0,107.0,191.0,203.0,140.0,64.0,278.0,285.0,84.0,253.0,884.0,78.0,54.0,59.0,285.0,58.0,1019.0,135.0,10704.0,11386.0,4602.0,738.0,14339.0,2079.0,1089.0,3951.0,18021.0,18021.0,18160.0,18160.0,135.0,116025.0,51.0,88.0,12.0,270.0,159.0,440.0,119585.0,5108.0,122764.0,652.0,267.0,502.0,124197.0
2019-11-17,3730.0,4734.0,752.0,669.0,874.0,3636.0,348.0,725.0,268.0,511.0,1632.0,989.0,2606.0,110.0,3218.0,4078.0,9921.0,10910.0,1107.0,11091.0,1191.0,1117.0,1419.0,89.0,60016.0,776.0,62398.0,89999.0,1393.0,603.0,92011.0,1260.0,94831.0,155.0,1265.0,96092.0,96091.0,344.0,260.0,229.0,769.0,106.0,862.0,161.0,326.0,241.0,434.0,1534.0,1579.0,445.0,459.0,1454.0,429.0,1819.0,419.0,1319.0,1683.0,2722.0,1396.0,41.0,3410.0,3357.0,3204.0,2599.0,268.0,4722.0,148.0,136.0,7366.0,107.0,191.0,201.0,140.0,64.0,303.0,282.0,86.0,253.0,887.0,75.0,54.0,59.0,305.0,58.0,1029.0,141.0,10743.0,11421.0,4596.0,733.0,14258.0,2010.0,1175.0,3864.0,17901.0,17901.0,18041.0,18041.0,140.0,115895.0,52.0,89.0,13.0,269.0,165.0,449.0,119468.0,5114.0,122621.0,652.0,466.0,529.0,124100.0
2019-11-18,3721.0,9528.0,743.0,654.0,865.0,3613.0,347.0,723.0,267.0,504.0,1646.0,999.0,2648.0,109.0,3212.0,4065.0,9919.0,10905.0,1107.0,11512.0,1299.0,2591.0,3110.0,98.0,60962.0,754.0,64454.0,89999.0,1374.0,588.0,91985.0,1283.0,94828.0,419.0,1280.0,96109.0,96109.0,355.0,273.0,249.0,736.0,151.0,857.0,193.0,328.0,247.0,420.0,1511.0,1550.0,445.0,456.0,1421.0,429.0,1800.0,417.0,1317.0,1657.0,2705.0,1393.0,42.0,3336.0,3286.0,3132.0,2566.0,272.0,4690.0,148.0,138.0,7361.0,107.0,191.0,201.0,139.0,64.0,322.0,280.0,84.0,253.0,890.0,75.0,54.0,59.0,314.0,58.0,1040.0,158.0,10775.0,11455.0,4578.0,727.0,14178.0,2013.0,1312.0,3844.0,17838.0,17838.0,17985.0,17985.0,150.0,115826.0,83.0,90.0,13.0,268.0,166.0,457.0,119432.0,5120.0,122560.0,652.0,716.0,563.0,124351.0
2019-11-19,3669.0,9524.0,740.0,641.0,857.0,3594.0,346.0,721.0,264.0,497.0,1656.0,1012.0,2842.0,108.0,3209.0,4049.0,10102.0,11100.0,1102.0,12264.0,1467.0,2660.0,3369.0,99.0,64481.0,729.0,67846.0,89999.0,1357.0,577.0,91953.0,1264.0,94785.0,332.0,1173.0,95981.0,95988.0,348.0,261.0,227.0,652.0,124.0,867.0,166.0,322.0,217.0,399.0,1514.0,1520.0,444.0,456.0,1409.0,427.0,1791.0,416.0,1309.0,1658.0,2688.0,1391.0,41.0,3263.0,3214.0,3053.0,2544.0,275.0,4663.0,147.0,140.0,7367.0,107.0,191.0,201.0,139.0,64.0,332.0,305.0,81.0,253.0,892.0,75.0,54.0,59.0,300.0,58.0,1041.0,163.0,10785.0,11469.0,4563.0,725.0,14160.0,2040.0,1444.0,3870.0,17818.0,17818.0,17966.0,17966.0,148.0,115737.0,118.0,105.0,13.0,269.0,163.0,457.0,119388.0,5126.0,122494.0,652.0,666.0,550.0,124418.0
2019-11-20,3635.0,10891.0,736.0,627.0,854.0,3577.0,346.0,714.0,264.0,495.0,1661.0,1024.0,3020.0,108.0,3209.0,4036.0,10366.0,11389.0,1103.0,12500.0,1609.0,2740.0,3447.0,136.0,65278.0,714.0,69457.0,89999.0,1346.0,565.0,91925.0,1298.0,94767.0,207.0,1175.0,95937.0,95936.0,363.0,270.0,251.0,632.0,153.0,851.0,189.0,327.0,236.0,396.0,1513.0,1511.0,442.0,453.0,1422.0,426.0,1788.0,414.0,1302.0,1693.0,2672.0,1386.0,41.0,3203.0,3153.0,2979.0,2514.0,275.0,4642.0,146.0,139.0,7371.0,106.0,190.0,201.0,139.0,64.0,312.0,299.0,80.0,253.0,895.0,75.0,54.0,59.0,307.0,58.0,1038.0,167.0,10791.0,11472.0,4547.0,723.0,14730.0,2042.0,1442.0,3882.0,17787.0,17787.0,17935.0,17935.0,151.0,115573.0,170.0,139.0,13.0,276.0,163.0,453.0,119254.0,5136.0,122342.0,649.0,856.0,591.0,124285.0
2019-11-21,3599.0,11845.0,734.0,612.0,848.0,3602.0,347.0,710.0,263.0,487.0,1646.0,1041.0,2838.0,107.0,3210.0,4027.0,10399.0,11423.0,1086.0,11964.0,1746.0,2821.0,3540.0,237.0,66948.0,699.0,70750.0,89999.0,1343.0,554.0,91902.0,1286.0,94754.0,145.0,1141.0,95907.0,95910.0,348.0,254.0,250.0,565.0,135.0,851.0,168.0,320.0,209.0,389.0,1512.0,1500.0,442.0,454.0,1424.0,425.0,1780.0,414.0,1293.0,1642.0,2657.0,1378.0,41.0,3139.0,3094.0,2914.0,2482.0,274.0,4611.0,145.0,138.0,7373.0,105.0,188.0,201.0,140.0,64.0,300.0,290.0,79.0,252.0,897.0,75.0,54.0,59.0,291.0,57.0,1043.0,170.0,10808.0,11485.0,4533.0,751.0,14541.0,2021.0,1545.0,3865.0,17735.0,17735.0,17883.0,17883.0,150.0,115502.0,186.0,182.0,13.0,300.0,163.0,451.0,119213.0,5142.0,122273.0,647.0,850.0,587.0,124399.0
2019-11-22,3584.0,11815.0,733.0,601.0,836.0,3648.0,347.0,710.0,263.0,479.0,1636.0,1053.0,2749.0,107.0,3209.0,4072.0,10398.0,11418.0,1086.0,11728.0,1846.0,2902.0,3637.0,216.0,67833.0,680.0,72219.0,89999.0,1350.0,544.0,91889.0,1269.0,94717.0,128.0,1110.0,95834.0,95836.0,331.0,237.0,235.0,495.0,124.0,849.0,160.0,316.0,201.0,384.0,1523.0,1485.0,442.0,455.0,1443.0,424.0,1775.0,413.0,1286.0,1617.0,2643.0,1369.0,41.0,3069.0,3027.0,2844.0,2464.0,271.0,4581.0,144.0,138.0,7378.0,105.0,188.0,201.0,140.0,63.0,296.0,286.0,78.0,252.0,900.0,75.0,53.0,59.0,273.0,57.0,1048.0,170.0,10842.0,11514.0,4527.0,792.0,14197.0,2017.0,1620.0,3853.0,17734.0,17734.0,17882.0,17882.0,153.0,115407.0,205.0,216.0,14.0,345.0,162.0,450.0,119180.0,5164.0,122233.0,648.0,929.0,607.0,124329.0
2019-11-23,3563.0,11802.0,729.0,588.0,834.0,3630.0,347.0,710.0,263.0,476.0,1631.0,1055.0,2713.0,105.0,3206.0,4100.0,10388.0,11403.0,1072.0,11928.0,1853.0,2982.0,3728.0,118.0,67617.0,667.0,72228.0,89999.0,1355.0,532.0,91884.0,1245.0,94690.0,123.0,1080.0,95779.0,95782.0,301.0,222.0,224.0,453.0,124.0,824.0,144.0,314.0,194.0,381.0,1521.0,1481.0,441.0,454.0,1335.0,421.0,1771.0,411.0,1278.0,1600.0,2625.0,1361.0,41.0,3003.0,2962.0,2772.0,2407.0,267.0,4552.0,143.0,136.0,7380.0,105.0,188.0,201.0,140.0,62.0,298.0,293.0,77.0,252.0,902.0,75.0,52.0,58.0,246.0,57.0,1049.0,169.0,10884.0,11553.0,4525.0,781.0,14082.0,2015.0,1439.0,3855.0,17713.0,17713.0,17862.0,17862.0,171.0,115348.0,202.0,231.0,27.0,391.0,159.0,449.0,119195.0,5194.0,122247.0,648.0,890.0,609.0,124444.0
2019-11-24,3549.0,11776.0,727.0,577.0,829.0,3616.0,347.0,710.0,263.0,475.0,1628.0,998.0,2687.0,105.0,3200.0,4087.0,10373.0,11384.0,1060.0,11975.0,1749.0,3062.0,3811.0,105.0,67211.0,658.0,71912.0,89999.0,1349.0,522.0,91878.0,1241.0,94668.0,120.0,1064.0,95736.0,95737.0,297.0,213.0,234.0,417.0,125.0,805.0,135.0,313.0,193.0,377.0,1503.0,1471.0,438.0,454.0,1330.0,421.0,1763.0,410.0,1272.0,1588.0,2610.0,1353.0,41.0,2938.0,2900.0,2702.0,2434.0,266.0,4525.0,143.0,134.0,7382.0,105.0,188.0,201.0,140.0,62.0,308.0,292.0,76.0,252.0,905.0,75.0,52.0,59.0,239.0,57.0,1052.0,165.0,10910.0,11583.0,4518.0,758.0,14030.0,1993.0,1365.0,3836.0,17642.0,17642.0,17790.0,17790.0,165.0,115235.0,201.0,240.0,47.0,409.0,158.0,445.0,119155.0,5187.0,122175.0,647.0,856.0,591.0,124302.0
2019-11-25,3536.0,11765.0,726.0,566.0,823.0,3602.0,347.0,710.0,263.0,473.0,1619.0,823.0,2648.0,104.0,3064.0,4071.0,10332.0,11336.0,1045.0,11913.0,1605.0,3088.0,3867.0,104.0,66965.0,644.0,71665.0,89999.0,1339.0,510.0,91862.0,1218.0,94641.0,119.0,1048.0,95698.0,95701.0,273.0,200.0,227.0,385.0,119.0,802.0,128.0,313.0,188.0,375.0,1498.0,1447.0,436.0,454.0,1328.0,418.0,1753.0,410.0,1267.0,1577.0,2600.0,1344.0,41.0,2867.0,2833.0,2631.0,2457.0,264.0,4576.0,142.0,134.0,7385.0,104.0,187.0,201.0,141.0,61.0,314.0,291.0,75.0,251.0,908.0,75.0,52.0,59.0,239.0,57.0,1056.0,164.0,10926.0,11598.0,4508.0,740.0,13984.0,1957.0,1295.0,3799.0,17547.0,17547.0,17695.0,17695.0,166.0,115098.0,202.0,238.0,64.0,422.0,158.0,442.0,119061.0,5192.0,122058.0,644.0,869.0,597.0,124157.0
